
Player(Map<Direction, Sprite> spriteMap, AnimatedSprite deathAnimation),1104,1123,1145,1174,1212,
isAlive(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
getSprite(),
isAlive(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
getScore(),
isAlive(),
getScore(),
addPoints(int points),2306,
isAlive(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
getScore(),
isAlive(),
