
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
occupy(Square target),1417,1447,1502,1522,
invariant(),1543,
Unit(),457,
